QuestionID,Question,Category,SubCategory
reviwedActualHIVCounsellingSession,Reviewer observed actual (not simulated) session.,Communication,HIV Testing and Counseling
clientConsentHIVCounselling,Counselor obtained client consent for testing,Communication,HIV Testing and Counseling
confedentiallityAssuredHTSCounseling,Counselor assured confidentiality,Communication,HIV Testing and Counseling
reinforcementofHIVRisks,Reinforced client knowledge of HIV transmission risks and preventive measures,Communication,HIV Testing and Counseling
hivmisconceptionsAddressed,Corrected misconceptions about HIV/AIDS,Communication,HIV Testing and Counseling
htsBenefitsandLimitations,Explained HIV test benefits and limitations,Communication,HIV Testing and Counseling
partnerTesting,Encouraged partner testing,Communication,HIV Testing and Counseling
htsProcessExplained,Explained HIV testing process,Communication,HIV Testing and Counseling
informationPresentedClearly,Presented information clearly,Communication,HIV Testing and Counseling
accurateInformationProvided.1,Provided accurate information to client,Communication,HIV Testing and Counseling
understandingChecked,Checked for understanding throughout session,Communication,HIV Testing and Counseling
awareandAddressingClientNonVerbalCues,Responded to client’s non-verbal cues,Communication,HIV Testing and Counseling
clientsTreatedwithRespect,Engaged client with respect and without judgment,Communication,HIV Testing and Counseling
clientdeclineHIVTested,Did the client decline HIV testing?,Communication,HIV Testing and Counseling
clientdeclineHIVTestedRespected,Respected the client’s decision,Communication,HIV Testing and Counseling
clientdeclineHIVTestedProbedReasons,Explored reason(s) for client’s refusal,Communication,HIV Testing and Counseling
benefitsofHIVStatusReinforced,Reinforced benefits of knowing one’s HIV status,Communication,HIV Testing and Counseling
testingatLaterDate,Invited client to get tested at a later date,Communication,HIV Testing and Counseling
testingSpace,"Conducted test in clean, uncluttered, private space",Communication,HIV Testing and Counseling
htsAlgorithm,"Could refer to prominently posted, accurate HIV testing algorithm",Communication,HIV Testing and Counseling
gloves,Wore gloves,Communication,HIV Testing and Counseling
testingKitCurrent,"Used a current, secure test kit (sealed with desiccant, kept in proper temperature controlled space)",Communication,HIV Testing and Counseling
disposalofLancetandLotion,"Immediately, properly disposed of lancet and cotton",Communication,HIV Testing and Counseling
workingTimePiece,Used working timepiece to time the test interval,Communication,HIV Testing and Counseling
testingTimeInterval,Read the test result only after recommended time interval,Communication,HIV Testing and Counseling
testResultsProvidedTimeously,Gave client test results without undue delay,Communication,HIV Testing and Counseling
testResultNegative,Was the test result Negative?,Communication,HIV Testing and Counseling
resultsWithHeld,Withheld results,Communication,HIV Testing and Counseling
emphasisedRetestingAfter3Months,Explained implications of negative result and encourage retesting after 3months for those at risk,Communication,HIV Testing and Counseling
remindedVMMCisPartialProtectionofHIV,Reminded client that VMMC is only partially protective against HIV,Communication,HIV Testing and Counseling
Emphasized_how_VMMC_must_be_combined_with_condom,Emphasized how VMMC must be combined with condom use and other HIV prevention practices to minimize risk of HIV infection,Communication,HIV Testing and Counseling
Was_the_test_result_Positive,Was the test result Positive,Communication,HIV Testing and Counseling
Withheld_results_Positive,"Withheld results
 ",Communication,HIV Testing and Counseling
Conducted_confirmatory_test_according_to_national_algorithm,"Conducted confirmatory test according to national algorithm
",Communication,HIV Testing and Counseling
Delivered_positive_results_directly_and_clearly,"Delivered positive results directly and clearly
",Communication,HIV Testing and Counseling
Offered_client_appropriate_emotional_support,"Offered client appropriate emotional support
",Communication,HIV Testing and Counseling
Addressed_client_HIV_understanding_and_misperceptions,"Addressed client’s HIV understanding and misperceptions
",Communication,HIV Testing and Counseling
Encouraged_disclosure_to_partners_and_offered_assistance,"Encouraged disclosure to partner(s) and offered assistance
",Communication,HIV Testing and Counseling
Encourage_partner_and_family_HIV_testing,"Encourage partner and family HIV testing
",Communication,HIV Testing and Counseling
Affirmed_that_client_could_still_undergo_VMMC,"Affirmed that client could still undergo VMMC but it would not reduce risk of HIV transmission to partners
",Communication,HIV Testing and Counseling
Explained_that_VMMC_recovery_may_take_longer_when_HIV_positive,"Explained that VMMC recovery may take longer when HIV positive
",Communication,HIV Testing and Counseling
Emphasized_importance_of_consistent_proper_condom_use,"Emphasized importance of consistent, proper condom use
",Communication,HIV Testing and Counseling
Provided_information_on_positive_living_for_persons_testing_HIV_positive,"Provided information on positive living for persons testing HIV positive
",Communication,HIV Testing and Counseling
Initiated_referral_linkage_to_HIV_care_and_treatment,"Initiated referral (linkage) to HIV care and treatment
",Communication,HIV Testing and Counseling
Communication_to_Clients,"Communication to Clients - Post-Operative, Pre-discharge Client Observation and Counseling Session
",Communication,HIV Testing and Counseling
Recorded_client_temperature_on_arrival,"Recorded client temperature on arrival
",Communication,HIV Testing and Counseling
Recorded_client_blood_pressure_on_arrival,"Recorded client blood pressure on arrival
",Communication,HIV Testing and Counseling
Recorded_client_pulse_and_respiration_rate_on_arrival,"Recorded client pulse and respiration rate on arrival
",Communication,HIV Testing and Counseling
Recorded_client_temperature_15_minutes_after_arrival,"Recorded client temperature 15 minutes after arrival
",Communication,HIV Testing and Counseling
Recorded_client_blood_pressure_15_minutes_after_arrival,"Recorded client blood pressure 15 minutes after arrival
",Communication,HIV Testing and Counseling
Recorded_client_pulse_and_respiration_rate_15_minutes_after_arrival,"Recorded client pulse and respiration rate 15 minutes after arrival
",Communication,HIV Testing and Counseling
Reaffirmed_need_for_six_week_abstinence_period_during_VMMC_healing,"Reaffirmed need for six week abstinence period during VMMC healing
",Communication,HIV Testing and Counseling
Emphasized_ways_to_improve_compliance_with_abstinence,"Emphasized ways to improve compliance with abstinence
",Communication,HIV Testing and Counseling
Gave_oral_and_written_instructions_for_contacting_VMMC_staff,"Gave oral and written instructions for contacting VMMC staff
",Communication,HIV Testing and Counseling
Provided_wound_care_flier_and_clear_accurate_instructions_on_wound_care,"Provided wound care flier and clear, accurate instructions on wound care
",Communication,HIV Testing and Counseling
Provided_instructions_for_pain_management,"Provided instructions for pain management
",Communication,HIV Testing and Counseling
Described_warning_signs_of_adverse_events_and_recommendations_for_managing,"
Described warning signs of adverse events and recommendations for managing",Communication,HIV Testing and Counseling
Warned_against_applying_any_home_or_traditional_remedies,"Warned against applying any home or traditional remedies, such as  herbs, animal dung or ash to the MC wound (emphasis on associated risks including tetanus)",Communication,HIV Testing and Counseling
Communicated_in_clear_simple_terms,"Communicated in clear, simple terms",Communication,HIV Testing and Counseling
Gave_accurate_information_note_errors_of_fact,Gave accurate information (note errors of fact),Communication,HIV Testing and Counseling
Checked_for_client_understanding_throughout_session,Checked for client understanding throughout session,Communication,HIV Testing and Counseling
Engaged_client_with_respect_and_without_judgment,Engaged client with respect and without judgment,Communication,HIV Testing and Counseling
IndividualInformationComment.1,Give a comment to this Section,Communication,HIV Testing and Counseling
Is_this_a_follow_up_clinic_visit_post_VMMC,Is this a follow up clinic visit post VMMC?,Communication,Follow-up ->  Clinic Visit After VMMC
ageofClientfollowup,Age of client,Communication,Follow-up ->  Clinic Visit After VMMC
Reviewer_observed_follow-up_clinic_visit_on,Reviewer observed follow-up clinic visit on  ___  post-operative day/week (select day),Communication,Follow-up ->  Clinic Visit After VMMC
Provider_ensured_client_privacy_during_examination,Provider ensured client privacy during examination,Communication,Follow-up ->  Clinic Visit After VMMC
Care_provider_completed_a_physical_exam,Care provider completed a physical exam,Communication,Follow-up ->  Clinic Visit After VMMC
information_on_the_status_of_clients_healing,The care giver/counselor gave information on the status of client’s healing,Communication,Follow-up ->  Clinic Visit After VMMC
Emphasized_the_need_for_six_week_abstinence_period_during_VMMC_healing,Emphasized the need for six week abstinence period during VMMC healing,Communication,Follow-up ->  Clinic Visit After VMMC
Emphasized_ways_to_improve_compliance_with_abstinenceFu,Emphasized ways to improve compliance with abstinence,Communication,Follow-up ->  Clinic Visit After VMMC
Explained_effective_wound_care_and_pain_management,Explained effective wound care and pain management,Communication,Follow-up ->  Clinic Visit After VMMC
Explained_importance_of_not_applying_any_home_or_traditional_remedies,"Explained importance of not applying any home or traditional remedies, such as herbs, animal dung or ash to the MC wound (emphasis on associated risks)",Communication,Follow-up ->  Clinic Visit After VMMC
Discussed_warning_signs_of_adverse_events,Discussed warning signs of adverse events and recommendations for managing them,Communication,Follow-up ->  Clinic Visit After VMMC
Gave_procedures_for_contacting_VMMC_staff,Gave procedures for contacting VMMC staff,Communication,Follow-up ->  Clinic Visit After VMMC
Gave_accurate_information,Gave accurate information,Communication,Follow-up ->  Clinic Visit After VMMC
Communicated_in_clear_simple_termsFu,"Communicated in clear, simple terms",Communication,Follow-up ->  Clinic Visit After VMMC
Checked_for_client_understanding_throughout_sessionFu,Checked for client understanding throughout session,Communication,Follow-up ->  Clinic Visit After VMMC
Engaged_client_with_respect_and_without_judgmentFu,Engaged client with respect and without judgment,Communication,Follow-up ->  Clinic Visit After VMMC
Affirmed_client_VMMC_decision,"Affirmed client’s VMMC decision and encouraged him to bring in friends, peers, male relatives",Communication,Follow-up ->  Clinic Visit After VMMC
Was_the_visit_documented_in_CIR_and_Register,Was the visit documented in CIR and Register?,Communication,Follow-up ->  Clinic Visit After VMMC
Communication_to_Clients_-_HIV_and_MCEducation,Communication to Clients - HIV and MC Education and Counseling Materials,Communication,Follow-up ->  Clinic Visit After VMMC
Examine_all_in-service_communication_materials,"Examine all in-service communication materials, including flip-charts, pamphlets, brochures, client guidance and instructional hand-outs",Communication,Follow-up ->  Clinic Visit After VMMC
On-site_signage_is_sufficient_to_direct_clients,On-site signage is sufficient to direct clients to VMMC service locations,Communication,Follow-up ->  Clinic Visit After VMMC
testingSpace.1,"Conducted test in clean, uncluttered, private space",Communication,Follow-up ->  Clinic Visit After VMMC
htsAlgorithm.1,"Could refer to prominently posted, accurate HIV testing algorithm",Communication,Follow-up ->  Clinic Visit After VMMC
gloves.1,Wore gloves,Communication,Follow-up ->  Clinic Visit After VMMC
testingKitCurrent.1,"Used a current, secure test kit (sealed with desiccant, kept in proper temperature controlled space)",Communication,Follow-up ->  Clinic Visit After VMMC
disposalofLancetandLotion.1,"Immediately, properly disposed of lancet and cotton",Communication,Follow-up ->  Clinic Visit After VMMC
workingTimePiece.1,Used working timepiece to time the test interval,Communication,Follow-up ->  Clinic Visit After VMMC
testingTimeInterval.1,Read the test result only after recommended time interval,Communication,Follow-up ->  Clinic Visit After VMMC
testResultsProvidedTimeously.1,Gave client test results without undue delay,Communication,Follow-up ->  Clinic Visit After VMMC
testResultNegative.1,Was the test result Negative?,Communication,Follow-up ->  Clinic Visit After VMMC
resultsWithHeld.1,Withheld results,Communication,Follow-up ->  Clinic Visit After VMMC
emphasisedRetestingAfter3Months.1,Explained implications of negative result and encourage retesting after 3months for those at risk,Communication,Follow-up ->  Clinic Visit After VMMC
remindedVMMCisPartialProtectionofHIV.1,Reminded client that VMMC is only partially protective against HIV,Communication,Follow-up ->  Clinic Visit After VMMC
Emphasized_how_VMMC_must_be_combined_with_condom.1,Emphasized how VMMC must be combined with condom use and other HIV prevention practices to minimize risk of HIV infection,Communication,Follow-up ->  Clinic Visit After VMMC
Was_the_test_result_Positive.1,Was the test result Positive,Communication,Follow-up ->  Clinic Visit After VMMC
Withheld_results_Positive.1,"Withheld results
 ",Communication,Follow-up ->  Clinic Visit After VMMC
Conducted_confirmatory_test_according_to_national_algorithm.1,"Conducted confirmatory test according to national algorithm
",Communication,Follow-up ->  Clinic Visit After VMMC
Delivered_positive_results_directly_and_clearly.1,"Delivered positive results directly and clearly
",Communication,Follow-up ->  Clinic Visit After VMMC
Offered_client_appropriate_emotional_support.1,"Offered client appropriate emotional support
",Communication,Follow-up ->  Clinic Visit After VMMC
Addressed_client_HIV_understanding_and_misperceptions.1,"Addressed client’s HIV understanding and misperceptions
",Communication,Follow-up ->  Clinic Visit After VMMC
Encouraged_disclosure_to_partners_and_offered_assistance.1,"Encouraged disclosure to partner(s) and offered assistance
",Communication,Follow-up ->  Clinic Visit After VMMC
Encourage_partner_and_family_HIV_testing.1,"Encourage partner and family HIV testing
",Communication,Follow-up ->  Clinic Visit After VMMC
Affirmed_that_client_could_still_undergo_VMMC.1,"Affirmed that client could still undergo VMMC but it would not reduce risk of HIV transmission to partners
",Communication,Follow-up ->  Clinic Visit After VMMC
Explained_that_VMMC_recovery_may_take_longer_when_HIV_positive.1,"Explained that VMMC recovery may take longer when HIV positive
",Communication,Follow-up ->  Clinic Visit After VMMC
Emphasized_importance_of_consistent_proper_condom_use.1,"Emphasized importance of consistent, proper condom use
",Communication,Follow-up ->  Clinic Visit After VMMC
Provided_information_on_positive_living_for_persons_testing_HIV_positive.1,"Provided information on positive living for persons testing HIV positive
",Communication,Follow-up ->  Clinic Visit After VMMC
Initiated_referral_linkage_to_HIV_care_and_treatment.1,"Initiated referral (linkage) to HIV care and treatment
",Communication,Follow-up ->  Clinic Visit After VMMC
Communication_to_Clients.1,"Communication to Clients - Post-Operative, Pre-discharge Client Observation and Counseling Session
",Communication,Follow-up ->  Clinic Visit After VMMC
Recorded_client_temperature_on_arrival.1,"Recorded client temperature on arrival
",Communication,Follow-up ->  Clinic Visit After VMMC
Recorded_client_blood_pressure_on_arrival.1,"Recorded client blood pressure on arrival
",Communication,Follow-up ->  Clinic Visit After VMMC
Recorded_client_pulse_and_respiration_rate_on_arrival.1,"Recorded client pulse and respiration rate on arrival
",Communication,Follow-up ->  Clinic Visit After VMMC
Recorded_client_temperature_15_minutes_after_arrival.1,"Recorded client temperature 15 minutes after arrival
",Communication,Follow-up ->  Clinic Visit After VMMC
Recorded_client_blood_pressure_15_minutes_after_arrival.1,"Recorded client blood pressure 15 minutes after arrival
",Communication,Follow-up ->  Clinic Visit After VMMC
Recorded_client_pulse_and_respiration_rate_15_minutes_after_arrival.1,"Recorded client pulse and respiration rate 15 minutes after arrival
",Communication,Follow-up ->  Clinic Visit After VMMC
Reaffirmed_need_for_six_week_abstinence_period_during_VMMC_healing.1,"Reaffirmed need for six week abstinence period during VMMC healing
",Communication,Follow-up ->  Clinic Visit After VMMC
Emphasized_ways_to_improve_compliance_with_abstinence.1,"Emphasized ways to improve compliance with abstinence
",Communication,Follow-up ->  Clinic Visit After VMMC
Gave_oral_and_written_instructions_for_contacting_VMMC_staff.1,"Gave oral and written instructions for contacting VMMC staff
",Communication,Follow-up ->  Clinic Visit After VMMC
Provided_wound_care_flier_and_clear_accurate_instructions_on_wound_care.1,"Provided wound care flier and clear, accurate instructions on wound care
",Communication,Follow-up ->  Clinic Visit After VMMC
Provided_instructions_for_pain_management.1,"Provided instructions for pain management
",Communication,Follow-up ->  Clinic Visit After VMMC
Described_warning_signs_of_adverse_events_and_recommendations_for_managing.1,"
Described warning signs of adverse events and recommendations for managing",Communication,Follow-up ->  Clinic Visit After VMMC
Warned_against_applying_any_home_or_traditional_remedies.1,"Warned against applying any home or traditional remedies, such as  herbs, animal dung or ash to the MC wound (emphasis on associated risks including tetanus)",Communication,Follow-up ->  Clinic Visit After VMMC
Communicated_in_clear_simple_terms.1,"Communicated in clear, simple terms",Communication,Follow-up ->  Clinic Visit After VMMC
Gave_accurate_information_note_errors_of_fact.1,Gave accurate information (note errors of fact),Communication,Follow-up ->  Clinic Visit After VMMC
Checked_for_client_understanding_throughout_session.1,Checked for client understanding throughout session,Communication,Follow-up ->  Clinic Visit After VMMC
Engaged_client_with_respect_and_without_judgment.1,Engaged client with respect and without judgment,Communication,Follow-up ->  Clinic Visit After VMMC
Affirmed_clients_VMMC_decision,"Affirmed client’s VMMC decision and encouraged him to bring in friends, peers, male relatives",Communication,Follow-up ->  Clinic Visit After VMMC
Was_the_visit_documented_in_CIR_and_RegisterFu,Was the visit documented in CIR and Register?,Communication,Follow-up ->  Clinic Visit After VMMC
Communication_to_Clients_-_HIV_and_MCEducationFu,Communication to Clients - HIV and MC Education and Counseling Materials,Communication,Follow-up ->  Clinic Visit After VMMC
Examine_all_in-service_communication_materialsFu,"Examine all in-service communication materials, including flip-charts, pamphlets, brochures, client guidance and instructional hand-outs",Communication,Follow-up ->  Clinic Visit After VMMC
On-site_signage_is_sufficient_to_direct_clients_to_VMMC_service_locations,On-site signage is sufficient to direct clients to VMMC service locations,Communication,Follow-up ->  Clinic Visit After VMMC
On-site_materials_adequately_support_in-service_communication,On-site materials adequately support in-service communication,Communication,Follow-up ->  Clinic Visit After VMMC
Materials_are_legible_and_in_good-condition,"Materials are legible and in good-condition (i.e., not faded, worn, or distorted)",Communication,Follow-up ->  Clinic Visit After VMMC
Materials_tailored_to_specific_audiences_are_available,"Materials tailored to specific audiences are available (e.g. adolescent & adult males, wives/partners, parents, guardians, other  home caregivers)",Communication,Follow-up ->  Clinic Visit After VMMC
Clinic_staff_can_explain_or_show_how_they_use_these_materials_in_client_education_and_counseling,Clinic staff can explain or show how they use these materials in client education and counseling,Communication,Follow-up ->  Clinic Visit After VMMC
Communication_to_Clients_-_Information_on_Materials,Communication to Clients - Information on Materials,Communication,Follow-up ->  Clinic Visit After VMMC
basic_hiv_and_aids_risk_reduction_information_including_other_stis,Basic HIV and AIDS risk reduction information (including other STIs),Communication,Follow-up ->  Clinic Visit After VMMC
Modes_of_HIV_transmission_and_relative_HIV-risk_assessment,Modes of HIV transmission and relative HIV-risk assessment,Communication,Follow-up ->  Clinic Visit After VMMC
Guidance_for_reducing_individual_HIV_risk,Guidance for reducing individual HIV risk,Communication,Follow-up ->  Clinic Visit After VMMC
Information_on_need_for_abstinence_during_VMMC_healing,Information on need for abstinence during VMMC healing,Communication,Follow-up ->  Clinic Visit After VMMC
Wound_care_instructions,Wound care instructions,Communication,Follow-up ->  Clinic Visit After VMMC
Warning_against_applying_any_home_or_tradional_remedies,"Warning against applying any home or tradional remedies, such as  herbs, animal dung or ash to the VMMC wound (emphasis on associated risks including tetanus)",Communication,Follow-up ->  Clinic Visit After VMMC
Specific_contact_information_for_reaching_VMMC_staff,Specific contact information for reaching VMMC staff,Communication,Follow-up ->  Clinic Visit After VMMC
Emergency_contact_number_operational,"Emergency contact number operational (dial the number, if possible, to confirm that it is in service)",Communication,Follow-up ->  Clinic Visit After VMMC
give_overall_comment_communication,Give overall Comment (Communication),Communication,Follow-up ->  Clinic Visit After VMMC
